,Unnamed: 0,Rank,Data ID,DOI,Title,Description,Repository,Publication date,Publication year,Dataset author,Associated publication,Dimensions URL,Source linkout,Fields of Research (ANZSRC 2020),RCDC Categories,HRCS HC Categories,HRCS RAC Categories,Health Research Areas,Broad Research Areas,Cancer Types,CSO Categories,Sustainable Development Goals
11062,11062,100,dataset.8802883,10.1371/journal.pone.0070615.t001,Binding of nucleotides 81 to 148 of influenza A NS1 mRNA to isoenergetic probes on microarray.,"a- Center of binding site, where center is target RNA nucleotide complementary to third nucleotide from 5′-end of probe. Square brackets indicate possible alternative binding sites (if 5 or 6 nucleotides of probe bind) or region of binding (if predicted duplex has less than 5 canonical base pairs). Data in italics represent probes that bind in buffer II, but not in buffer I;b- LNA nucleotides are marked with superscript L, D represents 2,6-diaminopurine, nucleotides without superscript are 2′-O-methyl-nucleotides;c- S –strong binding, M – medium binding; underline – binding site with no ambiguity;d- buffer composition is 300 mM KCl, 10 mM MgCl2, 10 mM Tris-HCl pH 7.0;e- buffer composition is 1 M KCl, 10 mM MgCl2, 10 mM Tris-HCl pH 7.0;f- calculated by RNAstructure 4.6 program (for 1 M NaCl, assuming no structure of target RNA and unmodified probe), values correspond to binding sites listed in the first column;g- calculated for 100 mM NaCl buffer according to published equation [37], [38].Probes listed underneath the double line have no perfect Watson-Crick match of the first five probe nucleotides to sequences in the target, but bind to target with at least one predicted GU wobble pair or in the case of site 114 have perfect complementarity to the target with only last five nucleotides of the probe. There are no complementary probes for sites: 129–131 and 137 on universal microarrays. Probes complementary to all other sites not listed in table do not bind strongly or moderately.",Public Library of Science,9/2/2013,2013,Salvatore F. Priore; Elzbieta Kierzek; Ryszard Kierzek; Jayson R. Baman; Walter N. Moss; Lumbini I. Dela-Moss; Douglas H. Turner,pub.1000112613,https://app.dimensions.ai/details/data_set/dataset.8802883,https://plos.figshare.com/articles/dataset/_Binding_of_nucleotides_81_to_148_of_influenza_A_NS1_mRNA_to_isoenergetic_probes_on_microarray_/786121,31 Biological Sciences; 31 Biological Sciences; 3102 Bioinformatics and Computational Biology,Genetics,,,,,,,
2028,2028,100,dataset.57677104,10.17182/hepdata.105865.v1/t9,"""parton_abs_ZPt"" of ""Inclusive and differential cross section measurements of single top quark production in association with a Z boson in proton-proton collisions at $ \sqrt{s} $ = 13 TeV""",Absolute differential cross sections as a function of the transverse momentum of the Z boson candidate at parton level.,HEPData,1/1/2021,2021,,pub.1145663633,https://app.dimensions.ai/details/data_set/dataset.57677104,https://www.hepdata.net/record/114898,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
5177,5177,100,dataset.10566288,10.17182/hepdata.85696.v2/t210,"""Table 210"" of ""Measurement of differential cross sections for the production of top quark pairs and of additional jets in lepton+jets events from pp collisions at $\sqrt{s} =$ 13 TeV""",Covariance matrix of normalized cross section at the parton level as a function of $p_\text{T}(\text{t}_\text{low})$.,HEPData,1/1/2019,2019,,pub.1104689093,https://app.dimensions.ai/details/data_set/dataset.10566288,https://www.hepdata.net/record/86097,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
10252,10252,100,dataset.10534132,10.17182/hepdata.66571.v1/t20,"""Table 20"" of ""Study of Hadronic Event-Shape Variables in Multijet Final States in pp Collisions at $\sqrt{s}$ = 7 TeV""","Total transverse jet mass for $p_{T,1} > 390$ GeV.",HEPData,1/1/2015,2015,,pub.1012589390,https://app.dimensions.ai/details/data_set/dataset.10534132,https://www.hepdata.net/record/66576,49 Mathematical Sciences; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
6295,6295,100,dataset.10576353,10.17182/hepdata.85696.v1/t126,"""Table 126"" of ""Measurement of differential cross sections for the production of top quark pairs and of additional jets in lepton+jets events from pp collisions at $\sqrt{s} =$ 13 TeV""",Normalized cross section at particle level as a function of $p_\text{T}(\text{t}_\text{h})$ vs. $M(\text{t}\bar{\text{t}})$.,HEPData,1/1/2018,2018,,pub.1104689093,https://app.dimensions.ai/details/data_set/dataset.10576353,https://www.hepdata.net/record/86077,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
8520,8520,100,dataset.10539595,10.17182/hepdata.77059.v1/t5,"""Table 5"" of ""Search for heavy Majorana neutrinos in e$^{±}$e$^{±}$+ jets and e$^{±}$ $\mu^{±}$+ jets events in proton-proton collisions at $ \sqrt{s}=8 $ TeV""","Summary of the relative systematic uncertainties in heavy Majorana neutrino signal yields and the background from prompt same-sign leptons, both estimated from simulation. The relative systematic uncertainties assigned to the data-driven backgrounds for the misidentified lepton background and mismeasured charge background are also shown. The uncertainties are given for the low-mass selections.",HEPData,1/1/2017,2017,,pub.1018109007,https://app.dimensions.ai/details/data_set/dataset.10539595,https://www.hepdata.net/record/77898,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
6394,6394,100,dataset.10573112,10.17182/hepdata.85696.v1/t30,"""Table 30"" of ""Measurement of differential cross sections for the production of top quark pairs and of additional jets in lepton+jets events from pp collisions at $\sqrt{s} =$ 13 TeV""",Absolute cross section at particle level as a function of Additional jets vs. $p_\text{T}(\text{t}\bar{\text{t}})$.,HEPData,1/1/2018,2018,,pub.1104689093,https://app.dimensions.ai/details/data_set/dataset.10573112,https://www.hepdata.net/record/85984,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
12038,12038,100,dataset.450358,10.5517/ccwkf1w,CCDC 821098: Experimental Crystal Structure Determination,"An entry from the Cambridge Structural Database, the world’s repository for small molecule crystal structures. The entry contains experimental data from a crystal diffraction study. The deposited dataset for this entry is freely available from the CCDC and typically includes 3D coordinates, cell parameters, space group, experimental conditions and quality measures.",The Cambridge Structural Database,1/1/2011,2011,"Manbeck, G.F.; Brennessel, W.W.; Stockland Junior, R.A.; Eisenberg, R.",pub.1055847475,https://app.dimensions.ai/details/data_set/dataset.450358,http://www.ccdc.cam.ac.uk/services/structure_request?id=doi:10.5517/ccwkf1w&sid=DataCite,,,,,,,,,
5197,5197,100,dataset.10564785,10.17182/hepdata.85696.v2/t190,"""Table 190"" of ""Measurement of differential cross sections for the production of top quark pairs and of additional jets in lepton+jets events from pp collisions at $\sqrt{s} =$ 13 TeV""",Absolute cross section at the parton level as a function of $|y(\text{t}\bar{\text{t}})|$.,HEPData,1/1/2019,2019,,pub.1104689093,https://app.dimensions.ai/details/data_set/dataset.10564785,https://www.hepdata.net/record/85953,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
4171,4171,100,dataset.10561632,10.17182/hepdata.90835.v1/t73,"""T1tttt significance"" of ""Search for supersymmetry in proton-proton collisions at 13 TeV in final states with jets and missing transverse momentum""",The observed significance of the SMS models for T1tttt as function of the gluino and LSP masses.,HEPData,1/1/2020,2020,,pub.1122384945,https://app.dimensions.ai/details/data_set/dataset.10561632,https://www.hepdata.net/record/93569,49 Mathematical Sciences; 4902 Mathematical Physics; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
12393,12393,100,dataset.10537638,10.17182/hepdata.63509.v1/t1,"""Table 1"" of ""A Measurement of the t anti-t Cross Section in p anti-p Collisions at s**(1/2) = 1.96-TeV using Dilepton Events with a Lepton plus Track Selection""",Measured cross section assuming a top quark mass of 175 GeV. The second systematic error is the uncertainty on the luminosity.,HEPData,1/1/2010,2010,,pub.1060707317,https://app.dimensions.ai/details/data_set/dataset.10537638,https://www.hepdata.net/record/63510,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
10388,10388,100,dataset.10527421,10.17182/hepdata.67151.v1/t104,"""Table 104"" of ""Evidence for transverse momentum and pseudorapidity dependent event plane fluctuations in PbPb and pPb collisions""","The $p_{T}$-dependent factorization ratio, $r_{2}$, as a function of $p^{a}_{T} - p^{b}_{T}$ with $2.5",HEPData,1/1/2015,2015,,pub.1046700402,https://app.dimensions.ai/details/data_set/dataset.10527421,https://www.hepdata.net/record/67261,49 Mathematical Sciences; 49 Mathematical Sciences; 4902 Mathematical Physics; 51 Physical Sciences,,,,,,,,
9352,9352,100,dataset.10535041,10.17182/hepdata.57149.v1/t32,"""Table 32"" of ""Search for Supersymmetry in $pp$ Collisions at $\sqrt{s} = 7$ TeV in Events with Two Photons and Missing Transverse Energy""",95 PCT CL upper limits to cross section and the GGM acceptance as a function of Gluino mass for Squark mass 1200 GeV and Neutralino mass 150 GeV.,HEPData,1/1/2016,2016,,pub.1032263268,https://app.dimensions.ai/details/data_set/dataset.10535041,https://www.hepdata.net/record/57218,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
9021,9021,100,dataset.10546763,10.17182/hepdata.70879.v1/t51,"""Table 51"" of ""Measurements of t t-bar spin correlations and top quark polarization using dilepton final states in pp collisions at sqrt(s) = 8 TeV""",Statistical covariance matrix for the $12\times3$ bins of the normalized differential cross section as a function of $\left|\Delta \phi_{\ell^+\ell^-}\right|$ and $p_\mathrm{T}^\mathrm{t\bar{t}}$.,HEPData,1/1/2016,2016,,pub.1022171317,https://app.dimensions.ai/details/data_set/dataset.10546763,https://www.hepdata.net/record/70935,49 Mathematical Sciences; 51 Physical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
2065,2065,100,dataset.57639665,10.17182/hepdata.113658.v1/t13,"""$\tilde{t} \to d\ell$ mass limits vs $c\tau_0$"" of ""Search for long-lived particles decaying to leptons with large impact parameter in proton-proton collisions at $\sqrt{s}$ = 13 TeV""","The observed 95% CL upper limits on the long-lived top squark production cross section, in the $c\tau_0$ -- mass plane, for the three channels combined. The $\tilde{t} \to d\ell$ process is shown. These limits assume $\mathcal{B}(\tilde{t} \to d\ell)$ is 100%, and each lepton has an equal probability of being an electron, a muon, or a tau lepton. The area to the left of the black curve represents the observed exclusion region, and the dashed red lines indicate the expected limits and their 68% confidence intervals.",HEPData,1/1/2021,2021,,pub.1145669176,https://app.dimensions.ai/details/data_set/dataset.57639665,https://www.hepdata.net/record/114243,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
9314,9314,100,dataset.10539359,10.17182/hepdata.72989.v1/t9,"""Table 9"" of ""Comparison of the Z/gamma*+jets to gamma+jets cross sections in pp collisions at sqrt(s)= 8 TeV""","The log (base 10) of the Z boson differential transverse momentum over the leading jet transverse momentum cross-section in an inclusive $Z/\gamma^{*}+\mathrm{jets}$, $N_{\mathrm{jets}} \geq2$ selection.",HEPData,1/1/2016,2016,,pub.1012950659,https://app.dimensions.ai/details/data_set/dataset.10539359,https://www.hepdata.net/record/72991,49 Mathematical Sciences; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
3116,3116,100,dataset.24837206,10.17182/hepdata.101186.v1/t39,"""Bin-by-bin correlation for the CI limit calculation."" of ""Search for resonant and nonresonant new phenomena in high-mass dilepton final states at $\sqrt{s} = $ 13 TeV""","Bin-by-bin correlation for the limit calculation for the CI limits. The bin names indicate the $\cos\theta^*$ bin (cspos for positive values and csneg for negative values), the lepton flavor (dielectron or dimuon), the year of data taking (2016, 2017, 2018) with associated integrated luminosities of 35.9, 41.5, and 59.4 $\mathrm{fb}^{-1}$ (36.3, 42.1, 61.3 $\mathrm{fb}^{-1}$ in the dimuon channel), respectively. The lepton $|\eta|$ categories are labelled as BB (both leptons with $|\eta| < 1.442$ for electrons and $|\eta| < 1.2$ for muons) and BE (One electron with $|\eta| < 1.442$ and one with $|\eta| > 1.562$ or for muons at least one with $|\eta| > 1.2$). The mass bins are numbered in ascending order.",HEPData,1/1/2021,2021,,pub.1140126492,https://app.dimensions.ai/details/data_set/dataset.24837206,https://www.hepdata.net/record/102390,51 Physical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
8465,8465,100,dataset.10540533,10.17182/hepdata.77603.v1/t22,"""Table 22"" of ""Azimuthal anisotropy of charged particles with transverse momentum up to 100 GeV/ c in PbPb collisions at $\sqrt {s}_{{NN}}$=5.02 TeV""",The $v_{2}^{high}$ as a function of $v_{2}^{low}$ results from 4-particle cumulant method in PbPb collisions at $sqrt{s_{NN}}$ = 5.02 TeV. Only statistical uncertainties are shown.,HEPData,1/1/2017,2017,,pub.1092999306,https://app.dimensions.ai/details/data_set/dataset.10540533,https://www.hepdata.net/record/79940,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
5906,5906,100,dataset.10553013,10.17182/hepdata.88396.v1/t1,"""1. Figure 4 "" of ""Search for supersymmetry in events with a photon, jets, $\mathrm {b}$ -jets, and missing transverse momentum in proton–proton collisions at 13 $\,\text {Te}\text {V}$""",Values of the predicted SM background events from various sources and observed events in each of the 25 signal regions.,HEPData,1/1/2019,2019,,pub.1115678419,https://app.dimensions.ai/details/data_set/dataset.10553013,https://www.hepdata.net/record/90641,49 Mathematical Sciences; 4902 Mathematical Physics; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
11354,11354,100,dataset.10539294,10.17182/hepdata.60335.v1/t63,"""Table 63"" of ""Studies of Jet Mass in Dijet and W/Z + Jet Events""",Unfolded AK7 trimmed jet mass distribution (x1000) for W->LEPTON NU events for the jet PT range 300-450 GeV/c.,HEPData,1/1/2013,2013,,pub.1006121367,https://app.dimensions.ai/details/data_set/dataset.10539294,https://www.hepdata.net/record/60409,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
6008,6008,100,dataset.10550508,10.17182/hepdata.86140.v1/t11,"""Table 11"" of ""Azimuthal correlations for inclusive 2-jet, 3-jet, and 4-jet events in pp collisions at $\sqrt{s}= $ 13 TeV""","Normalized inclusive 3-jet cross section differential in $\Delta\phi_{1,2}$ for $300 < p_{T}^{max} < 400$ GeV",HEPData,1/1/2019,2019,,pub.1105433307,https://app.dimensions.ai/details/data_set/dataset.10550508,https://www.hepdata.net/record/89671,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
11204,11204,100,dataset.1485650,10.5517/cc10f4zk,CCDC 936168: Experimental Crystal Structure Determination,"An entry from the Cambridge Structural Database, the world’s repository for small molecule crystal structures. The entry contains experimental data from a crystal diffraction study. The deposited dataset for this entry is freely available from the CCDC and typically includes 3D coordinates, cell parameters, space group, experimental conditions and quality measures.",The Cambridge Structural Database,1/1/2013,2013,"Chiang, Karen P.; Bellows, Sarina M.; Brennessel, William W.; Holland, Patrick L.",pub.1001781787,https://app.dimensions.ai/details/data_set/dataset.1485650,http://www.ccdc.cam.ac.uk/services/structure_request?id=doi:10.5517/cc10f4zk&sid=DataCite,,,,,,,,,
