author(s),publisher,keywords,title,publicationYear,publisher_categories
ching-ho chang; ankita chavan; jason palladino; xiaolu wei; nuno m. c. martins; bryce santinello; chin-chi chen; jelena erceg; brian j. beliveau; chao-ting wu; amanda m. larracuente; barbara g. mellone,public library of science,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology; 3102 bioinformatics and computational biology; 3105 genetics; 32 biomedical and clinical sciences,islands of retroelements are major components of <i>drosophila</i> centromeres,2019,scientific
janelle m. veazey; timothy j. chapman; timothy r. smyth; sara e. hillman; sophia i. eliseeva; steve n. georas,public library of science,31 biological sciences; 3107 microbiology; 32 biomedical and clinical sciences,distinct roles for mda5 and tlr3 in the acute response to inhaled double-stranded rna,2019,scientific
larry d. mesner; gina m. calabrese; basel al-barghouthi; daniel m. gatti; john p. sundberg; gary a. churchill; dana. a. godfrey; cheryl l. ackert-bicknell; charles r. farber,public library of science,31 biological sciences; 31 biological sciences; 3105 genetics; 32 biomedical and clinical sciences,mouse genome-wide association and systems genetics identifies <i>lhfp</i> as a regulator of bone mass,2019,scientific
dorota t. kopycka-kedzierawski; dongmei li; jin xiao; ronald j. billings; timothy d. dye,public library of science,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3203 dentistry,characteristics of subjects with/without periodontal disease in pregnancy data.,2019,scientific
kristen panfilio; iris vargas jentzsch; joshua benoit; deniz erezyilmaz; yuichiro suzuki; stefano colella; hugh robertson; monica poelchau; robert waterhouse; panagiotis ioannidis; matthew weirauch; daniel hughes; shwetha murali; john werren; chris jacobs; elizabeth duncan; david armisăšn; barbara vreede; patrice baa-puyoulet; chloăš berger; chun-che chang; hsu chao; mei-ju chen; yen-ta chen; christopher childers; ariel chipman; andrew cridge; antonin crumiă¨re; peter dearden; elise didion; huyen dinh; harsha doddapaneni; amanda dolan; shannon dugan; cassandra extavour; găšrard febvay; markus friedrich; neta ginzburg; yi han; peter heger; christopher holmes; thorsten horn; yi-min hsiao; emily jennings; j. johnston; tamsin jones; jeffery jones; abderrahman khila; stefan koelzer; viera kovacova; megan leask; sandra lee; chien-yueh lee; mackenzie lovegrove; hsiao-ling lu; yong lu; patricia moore; monica munoz-torres; donna muzny; subba palli; nicolas parisot; leslie pick; megan porter; jiaxin qu; peter refki; rose richter; rolando rivera-pomar; andrew rosendale; siegfried roth; lena sachs; m. santos; jan seibert; essia sghaier; jayendra shukla; richard stancliffe; olivia tidswell; lucila traverso; maurijn zee; săšverine viala; kim worley; evgeny zdobnov; richard gibbs; stephen richards,springer nature,31 biological sciences; 31 biological sciences; 3104 evolutionary biology; 3105 genetics,"additional file 2: of molecular evolutionary trends and feeding ecology diversification in the hemiptera, anchored by the milkweed bug genome",2019,geology/environment
kristen panfilio; iris vargas jentzsch; joshua benoit; deniz erezyilmaz; yuichiro suzuki; stefano colella; hugh robertson; monica poelchau; robert waterhouse; panagiotis ioannidis; matthew weirauch; daniel hughes; shwetha murali; john werren; chris jacobs; elizabeth duncan; david armisén; barbara vreede; patrice baa-puyoulet; chloé berger; chun-che chang; hsu chao; mei-ju chen; yen-ta chen; christopher childers; ariel chipman; andrew cridge; antonin crumière; peter dearden; elise didion; huyen dinh; harsha doddapaneni; amanda dolan; shannon dugan; cassandra extavour; gérard febvay; markus friedrich; neta ginzburg; yi han; peter heger; christopher holmes; thorsten horn; yi-min hsiao; emily jennings; j. johnston; tamsin jones; jeffery jones; abderrahman khila; stefan koelzer; viera kovacova; megan leask; sandra lee; chien-yueh lee; mackenzie lovegrove; hsiao-ling lu; yong lu; patricia moore; monica munoz-torres; donna muzny; subba palli; nicolas parisot; leslie pick; megan porter; jiaxin qu; peter refki; rose richter; rolando rivera-pomar; andrew rosendale; siegfried roth; lena sachs; m. santos; jan seibert; essia sghaier; jayendra shukla; richard stancliffe; olivia tidswell; lucila traverso; maurijn zee; séverine viala; kim worley; evgeny zdobnov; richard gibbs; stephen richards,springer nature,31 biological sciences; 31 biological sciences; 3104 evolutionary biology; 3105 genetics,"additional file 3: of molecular evolutionary trends and feeding ecology diversification in the hemiptera, anchored by the milkweed bug genome",2019,geology/environment
ellen martinson; justin peyton; yogeshwar d. kelkar; emily c. jennings; joshua b. benoit; john h. werren; david l. denlinger,genetics society of america (gsa),31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"supplemental material for martinson et al., 2019",2019,medical/health
rinat gabitov; aleksey sadekov; vasiliy yapaskurt; chiara borrelli; andrey bychkov; kaitlyn sabourin; alberto perez-huerta,frontiers,34 chemical sciences; 37 earth sciences; 3706 geophysics,table_1_elemental uptake by calcite slowly grown from seawater solution: an in-situ study via depth profiling.xlsx,2019,scientific
ethan lustig; ivan tan,sage journals,36 creative arts and writing; 36 creative arts and writing; 3603 music; 3604 performing arts,stimuli – supplemental material for all about that bass: audio filters on basslines determine groove and liking in electronic dance music,2019,scientific
connor holt; georgios alachouzos; alison j. frontier,american chemical society,34 chemical sciences; 34 chemical sciences; 3405 organic chemistry,"leveraging
the <i>halo</i>-nazarov cyclization
for the chemodivergent assembly of functionalized haloindenes and
indanones",2019,scientific
avidit acharya; alexander lee,sage journals,"43 history, heritage and archaeology; 43 history, heritage and archaeology; 4303 historical studies; 44 human society; 44 human society; 4408 political science","acharya_lee_replication_materials – supplemental material for path dependence in european development: medieval politics, conflict, and state building",2019,scientific
"szumila, ian",mendeley,37 earth sciences; 37 earth sciences; 3703 geochemistry,data for: the effect of fo2 on the diffusion of redox-sensitive elements in haplobasaltic melt at 1 gpa and 1300 c (all concentration data),2019,general
justin c. fay; ping liu; giang t. ong; maitreya j. dunham; gareth a. cromie; eric w. jeffery; catherine l. ludlow; aimée m. dudley,public library of science,"30 agricultural, veterinary and food sciences; 30 agricultural, veterinary and food sciences; 3006 food sciences; 3008 horticultural production; 31 biological sciences; 31 biological sciences; 3105 genetics",a polyploid admixed origin of beer yeasts derived from european and asian wine populations,2019,scientific
"wang, yanling",mendeley,37 earth sciences; 37 earth sciences; 3703 geochemistry; 3705 geology,data for: an experimental study of al solubility in zircon vs. melt composition and temperature,2019,general
arndt telschow; jürgen gadau; john h. werren; yutaka kobayashi,frontiers,31 biological sciences; 31 biological sciences; 3105 genetics,data_sheet_1_genetic incompatibilities between mitochondria and nuclear genes: effect on gene flow and speciation.pdf,2019,scientific
jeppe h. christensen; peter j. bex; józsef fiser,public library of science,32 biomedical and clinical sciences; 3202 clinical sciences; 51 physical sciences,best fitting estimated parameter means and sd (in parentheses) of the nio model with and without a sensory threshold.,2019,scientific
irene rodríguez-sánchez; xenia l. schafer; morgan monaghan; joshua munger,public library of science,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology; 32 biomedical and clinical sciences,the human cytomegalovirus u<sub>l</sub>38 protein drives mtor-independent metabolic flux reprogramming by inhibiting tsc2,2019,scientific
xiao j.; alkhers n.; kopycka-kedzierawski d.t.; billings r.j.; wu t.t.; castillo d.a.; rasubala l.; malmstrom h.; ren y.; eliav e.,karger publishers,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3203 dentistry,supplementary material for: prenatal oral health care and early childhood caries prevention: a systematic review and meta-analysis,2019,medical/health
jill ford; angela hughson; kihong lim; susana v. bardina; wuyuan lu; israel f. charo; jean k. lim; deborah j. fowell,frontiers,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3204 immunology,data_sheet_1_ccl7 is a negative regulator of cutaneous inflammation following leishmania major infection.pdf,2019,scientific
"winstrup, mai",pangaea,37 earth sciences; 37 earth sciences; 3705 geology; 3709 physical geography and environmental geoscience,"roosevelt island climate evolution (rice) ice core: the rice17 chronology and accumulation record for the past 2700 years, supplement to: winstrup, mai; vallelonga, paul t; kjær, helle astrid; fudge, tyler j; lee, james e; riis, marie h; edwards, ross l; bertler, nancy a; blunier, thomas; brook, edward j; buizert, christo; ciobanu, gabriela; conway, howard; dahl-jensen, dorthe; ellis, aja a; emanuelsson, b daniel; hindmarsh, richard c a; keller, elizabeth d; kurbatov, andrei; mayewski, paul andrew; neff, peter d; pyne, rebecca l; simonsen, marius; svensson, anders m; tuohy, andrea; waddington, edwin d; wheatley, sarah (2019): a 2700-year annual timescale and accumulation history for an ice core from roosevelt island, west antarctica. climate of the past, 15(2), 751-779",2019,geology/environment
"gloria, pryhuber; immport",niaid,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3207 medical microbiology; 3213 paediatrics,"prematurity, respiratory outcomes, immune system, and microbiome study (prism)",2019,medical/health
"curtis, j.l.; agueros, m.a.; mamajek, e.e.; wright, j.t.; cummings, j.d.",strasbourg astronomical data center,0,candidates and members of the pisces-eridanus stream,2019,scientific
"bohn, a.j.; kenworthy, m.a.; ginski, c.; benisty, m.; de boer, j.; keller, c.u.; mamajek, e.e.; meshkat, t.; muro-arena, g.a.; pecaut, m.j.; snik, f.; wolff, s.g.; reggiani, m.",strasbourg astronomical data center,0,discovery of a resolved disk around wray 15-788,2019,scientific
"zwintz, k.; reese, d.r.; neiner, c.; pigulski, a.; kuschnig, r.; muellner, m.; zieba, s.; abe, l.; guillot, t.; handler, g.; kenworthy, m.; stuik, r.;  moffat a.f.j.; popowicz, a.; rucinski, s.m.; wade, g.a.; weiss, w.w.; j.i., bailey; crawford, s.; ireland, m.; lomberg, b.; mamajek, e.e.; mellon, s.n.; talens, g.j.",strasbourg astronomical data center,0,"beta pic brite, bring, smei light curves",2019,scientific
"singleton, john d.",icpsr,"38 economics; 38 economics; 3801 applied economics; 39 education; 39 education; 3901 curriculum and pedagogy; 3902 education policy, sociology and philosophy",replication data for: incentives and the supply of effective charter schools,2019,Social Science
"banerjee, abhijit; chassang, sylvain; montero, sergio; snowberg, erik",icpsr,46 information and computing sciences; 4601 applied computing; 49 mathematical sciences,"a theory of experimenters: robustness, randomization, and balance",2019,Social Science
"chassang, sylvain; banerjee, abhijit; snowberg, erik; montero, sergio",icpsr,46 information and computing sciences; 4601 applied computing; 49 mathematical sciences,"a theory of experimenters: robustness, randomization, and balance",2019,Social Science
"kono, thomas j. y.; chaochih liu; vonderharr, emily e.; koenig, dan; fay, justin c.; smith, kevin p.; morrell, peter l.",genetics society of america (gsa),31 biological sciences; 31 biological sciences; 3105 genetics,"supplemental material for kono et al., 2019",2019,medical/health
