,publisher,publisher_categories,author(s),title,publicationYear,keywords,tot_appearances,tot_pubYrs,tot_authors,tot_publishers
825,springer nature,geology/environment,pia u. olafson; serap aksoy; geoffrey m. attardo; greta buckmeier; xiaoting chen; craig j. coates; megan davis; justin dykema; scott j. emrich; markus friedrich; christopher j. holmes; panagiotis ioannidis; evan n. jansen; emily c. jennings; daniel lawson; ellen o. martinson; gareth l. maslen; richard p. meisel; terence d. murphy; dana nayduch; david r. nelson; kennan j. oyen; tyler j. raszick; josé m. c. ribeiro; hugh m. robertson; andrew j. rosendale; timothy b. sackton; perot saelao; sonja l. swiger; sing-hoi sze; aaron m. tarone; david b. taylor; wesley c. warren; robert m. waterhouse; matthew t. weirauch; john h. werren; richard k. wilson; evgeny m. zdobnov; joshua b. benoit,"additional file 10 of the genome of the stable fly, stomoxys calcitrans, reveals potential mechanisms underlying reproduction, host interactions, and novel targets for pest control",2021,31 biological sciences,148,18,148,9
826,springer nature,geology/environment,pia u. olafson; serap aksoy; geoffrey m. attardo; greta buckmeier; xiaoting chen; craig j. coates; megan davis; justin dykema; scott j. emrich; markus friedrich; christopher j. holmes; panagiotis ioannidis; evan n. jansen; emily c. jennings; daniel lawson; ellen o. martinson; gareth l. maslen; richard p. meisel; terence d. murphy; dana nayduch; david r. nelson; kennan j. oyen; tyler j. raszick; josé m. c. ribeiro; hugh m. robertson; andrew j. rosendale; timothy b. sackton; perot saelao; sonja l. swiger; sing-hoi sze; aaron m. tarone; david b. taylor; wesley c. warren; robert m. waterhouse; matthew t. weirauch; john h. werren; richard k. wilson; evgeny m. zdobnov; joshua b. benoit,"additional file 10 of the genome of the stable fly, stomoxys calcitrans, reveals potential mechanisms underlying reproduction, host interactions, and novel targets for pest control",2021, 31 biological sciences,123,17,123,10
828,frontiers,scientific,yi-ying lin; dena phillips swanson; ronald david rogge,"table_1_the three teachings of east asia (ttea) inventory: developing and validating a measure of the interrelated ideologies of confucianism, buddhism, and taoism.docx",2021,35 commerce,8,6,8,2
829,frontiers,scientific,yi-ying lin; dena phillips swanson; ronald david rogge,"table_1_the three teachings of east asia (ttea) inventory: developing and validating a measure of the interrelated ideologies of confucianism, buddhism, and taoism.docx",2021, management,9,7,9,2
830,frontiers,scientific,yi-ying lin; dena phillips swanson; ronald david rogge,"table_1_the three teachings of east asia (ttea) inventory: developing and validating a measure of the interrelated ideologies of confucianism, buddhism, and taoism.docx",2021, tourism and services,9,7,9,2
831,frontiers,scientific,yi-ying lin; dena phillips swanson; ronald david rogge,"table_1_the three teachings of east asia (ttea) inventory: developing and validating a measure of the interrelated ideologies of confucianism, buddhism, and taoism.docx",2021, 47 language,5,3,5,2
832,frontiers,scientific,yi-ying lin; dena phillips swanson; ronald david rogge,"table_1_the three teachings of east asia (ttea) inventory: developing and validating a measure of the interrelated ideologies of confucianism, buddhism, and taoism.docx",2021, communication and culture,7,5,7,3
836,public library of science,scientific,bethany gardner; sadie dix; rebecca lawrence; cameron morgan; anaclare sullivan; chigusa kurumada,summary of final linear mixed model of fixation proportions in experiment 1.,2021, veterinary and food sciences,11,8,11,3
837,public library of science,scientific,bethany gardner; sadie dix; rebecca lawrence; cameron morgan; anaclare sullivan; chigusa kurumada,summary of final linear mixed model of fixation proportions in experiment 1.,2021, 49 mathematical sciences,10,8,10,4
840,frontiers,scientific,megan m. herting; kristina a. uban; marybel robledo gonzalez; fiona c. baker; eric c. kan; wesley k. thompson; douglas a. granger; matthew d. albaugh; andrey p. anokhin; kara s. bagot; marie t. banich; deanna m. barch; arielle baskin-sommers; florence j. breslin; b. j. casey; bader chaarani; linda chang; duncan b. clark; christine c. cloak; r. todd constable; linda b. cottler; rada k. dagher; mirella dapretto; anthony s. dick; nico dosenbach; gayathri j. dowling; julie a. dumas; sarah edwards; thomas ernst; damien a. fair; sarah w. feldstein-ewing; edward g. freedman; bernard f. fuemmeler; hugh garavan; dylan g. gee; jay n. giedd; paul e. a. glaser; aimee goldstone; kevin m. gray; samuel w. hawes; andrew c. heath; mary m. heitzeg; john k. hewitt; charles j. heyser; elizabeth a. hoffman; rebekah s. huber; marilyn a. huestis; luke w. hyde; m. alejandra infante; masha y. ivanova; joanna jacobus; terry l. jernigan; nicole r. karcher; angela r. laird; kimberly h. leblanc; krista lisdahl; monica luciana; beatriz luna; hermine h. maes; andrew t. marshall; michael j. mason; erin c. mcglade; amanda s. morris; bonnie j. nagel; gretchen n. neigh; clare e. palmer; martin p. paulus; alexandra s. potter; leon i. puttler; nishadi rajapakse; kristina rapuano; gloria reeves; perry f. renshaw; claudiu schirda; kenneth j. sher; chandni sheth; paul d. shilling; lindsay m. squeglia; matthew t. sutherland; susan f. tapert; rachel l. tomko; deborah yurgelun-todd; natasha e. wade; susan r. b. weiss; robert a. zucker; elizabeth r. sowell,datasheet_1_correspondence between perceived pubertal development and hormone levels in 9-10 year-olds from the adolescent brain cognitive development study.docx,2021,32 biomedical and clinical sciences,119,14,119,13
841,frontiers,scientific,megan m. herting; kristina a. uban; marybel robledo gonzalez; fiona c. baker; eric c. kan; wesley k. thompson; douglas a. granger; matthew d. albaugh; andrey p. anokhin; kara s. bagot; marie t. banich; deanna m. barch; arielle baskin-sommers; florence j. breslin; b. j. casey; bader chaarani; linda chang; duncan b. clark; christine c. cloak; r. todd constable; linda b. cottler; rada k. dagher; mirella dapretto; anthony s. dick; nico dosenbach; gayathri j. dowling; julie a. dumas; sarah edwards; thomas ernst; damien a. fair; sarah w. feldstein-ewing; edward g. freedman; bernard f. fuemmeler; hugh garavan; dylan g. gee; jay n. giedd; paul e. a. glaser; aimee goldstone; kevin m. gray; samuel w. hawes; andrew c. heath; mary m. heitzeg; john k. hewitt; charles j. heyser; elizabeth a. hoffman; rebekah s. huber; marilyn a. huestis; luke w. hyde; m. alejandra infante; masha y. ivanova; joanna jacobus; terry l. jernigan; nicole r. karcher; angela r. laird; kimberly h. leblanc; krista lisdahl; monica luciana; beatriz luna; hermine h. maes; andrew t. marshall; michael j. mason; erin c. mcglade; amanda s. morris; bonnie j. nagel; gretchen n. neigh; clare e. palmer; martin p. paulus; alexandra s. potter; leon i. puttler; nishadi rajapakse; kristina rapuano; gloria reeves; perry f. renshaw; claudiu schirda; kenneth j. sher; chandni sheth; paul d. shilling; lindsay m. squeglia; matthew t. sutherland; susan f. tapert; rachel l. tomko; deborah yurgelun-todd; natasha e. wade; susan r. b. weiss; robert a. zucker; elizabeth r. sowell,datasheet_1_correspondence between perceived pubertal development and hormone levels in 9-10 year-olds from the adolescent brain cognitive development study.docx,2021, 32 biomedical and clinical sciences,136,16,136,12
842,frontiers,scientific,megan m. herting; kristina a. uban; marybel robledo gonzalez; fiona c. baker; eric c. kan; wesley k. thompson; douglas a. granger; matthew d. albaugh; andrey p. anokhin; kara s. bagot; marie t. banich; deanna m. barch; arielle baskin-sommers; florence j. breslin; b. j. casey; bader chaarani; linda chang; duncan b. clark; christine c. cloak; r. todd constable; linda b. cottler; rada k. dagher; mirella dapretto; anthony s. dick; nico dosenbach; gayathri j. dowling; julie a. dumas; sarah edwards; thomas ernst; damien a. fair; sarah w. feldstein-ewing; edward g. freedman; bernard f. fuemmeler; hugh garavan; dylan g. gee; jay n. giedd; paul e. a. glaser; aimee goldstone; kevin m. gray; samuel w. hawes; andrew c. heath; mary m. heitzeg; john k. hewitt; charles j. heyser; elizabeth a. hoffman; rebekah s. huber; marilyn a. huestis; luke w. hyde; m. alejandra infante; masha y. ivanova; joanna jacobus; terry l. jernigan; nicole r. karcher; angela r. laird; kimberly h. leblanc; krista lisdahl; monica luciana; beatriz luna; hermine h. maes; andrew t. marshall; michael j. mason; erin c. mcglade; amanda s. morris; bonnie j. nagel; gretchen n. neigh; clare e. palmer; martin p. paulus; alexandra s. potter; leon i. puttler; nishadi rajapakse; kristina rapuano; gloria reeves; perry f. renshaw; claudiu schirda; kenneth j. sher; chandni sheth; paul d. shilling; lindsay m. squeglia; matthew t. sutherland; susan f. tapert; rachel l. tomko; deborah yurgelun-todd; natasha e. wade; susan r. b. weiss; robert a. zucker; elizabeth r. sowell,datasheet_1_correspondence between perceived pubertal development and hormone levels in 9-10 year-olds from the adolescent brain cognitive development study.docx,2021, 3213 paediatrics,5,4,5,3
843,frontiers,scientific,megan m. herting; kristina a. uban; marybel robledo gonzalez; fiona c. baker; eric c. kan; wesley k. thompson; douglas a. granger; matthew d. albaugh; andrey p. anokhin; kara s. bagot; marie t. banich; deanna m. barch; arielle baskin-sommers; florence j. breslin; b. j. casey; bader chaarani; linda chang; duncan b. clark; christine c. cloak; r. todd constable; linda b. cottler; rada k. dagher; mirella dapretto; anthony s. dick; nico dosenbach; gayathri j. dowling; julie a. dumas; sarah edwards; thomas ernst; damien a. fair; sarah w. feldstein-ewing; edward g. freedman; bernard f. fuemmeler; hugh garavan; dylan g. gee; jay n. giedd; paul e. a. glaser; aimee goldstone; kevin m. gray; samuel w. hawes; andrew c. heath; mary m. heitzeg; john k. hewitt; charles j. heyser; elizabeth a. hoffman; rebekah s. huber; marilyn a. huestis; luke w. hyde; m. alejandra infante; masha y. ivanova; joanna jacobus; terry l. jernigan; nicole r. karcher; angela r. laird; kimberly h. leblanc; krista lisdahl; monica luciana; beatriz luna; hermine h. maes; andrew t. marshall; michael j. mason; erin c. mcglade; amanda s. morris; bonnie j. nagel; gretchen n. neigh; clare e. palmer; martin p. paulus; alexandra s. potter; leon i. puttler; nishadi rajapakse; kristina rapuano; gloria reeves; perry f. renshaw; claudiu schirda; kenneth j. sher; chandni sheth; paul d. shilling; lindsay m. squeglia; matthew t. sutherland; susan f. tapert; rachel l. tomko; deborah yurgelun-todd; natasha e. wade; susan r. b. weiss; robert a. zucker; elizabeth r. sowell,datasheet_1_correspondence between perceived pubertal development and hormone levels in 9-10 year-olds from the adolescent brain cognitive development study.docx,2021, 52 psychology,33,13,33,5
847,american chemical society,scientific,donggeon nam; viktoria steck; robert j. potenzino; rudi fasan,"a diverse
library of chiral cyclopropane scaffolds
via chemoenzymatic assembly and diversification of cyclopropyl ketones",2021,34 chemical sciences,244,28,244,4
848,american chemical society,scientific,donggeon nam; viktoria steck; robert j. potenzino; rudi fasan,"a diverse
library of chiral cyclopropane scaffolds
via chemoenzymatic assembly and diversification of cyclopropyl ketones",2021, 34 chemical sciences,249,28,249,4
851,frontiers,scientific,soumyaroop bhattacharya; jared a. mereness; andrea m. baran; ravi s. misra; derick r. peterson; rita m. ryan; anne marie reynolds; gloria s. pryhuber; thomas j. mariani,datasheet_1_lymphocyte-specific biomarkers associated with preterm birth and bronchopulmonary dysplasia.pdf,2021,32 biomedical and clinical sciences,119,14,119,13
852,frontiers,scientific,soumyaroop bhattacharya; jared a. mereness; andrea m. baran; ravi s. misra; derick r. peterson; rita m. ryan; anne marie reynolds; gloria s. pryhuber; thomas j. mariani,datasheet_1_lymphocyte-specific biomarkers associated with preterm birth and bronchopulmonary dysplasia.pdf,2021, 32 biomedical and clinical sciences,136,16,136,12
853,frontiers,scientific,soumyaroop bhattacharya; jared a. mereness; andrea m. baran; ravi s. misra; derick r. peterson; rita m. ryan; anne marie reynolds; gloria s. pryhuber; thomas j. mariani,datasheet_1_lymphocyte-specific biomarkers associated with preterm birth and bronchopulmonary dysplasia.pdf,2021, 3213 paediatrics,5,4,5,3
